"","age","marital_status","juv_fel_count","juv_misd_count","juv_other_count","priors_count","c_charge_degree","c_charge_desc","is_recid","prison_length"
"1",27,"Single",0,0,1,18,"(F3)","Grand Theft in the 3rd Degree",0,510
"2",41,"Widowed",0,0,0,11,"(F3)","Felony Petit Theft",1,391
"7",54,"Single",0,0,0,10,"(F3)","Possession of Cocaine",0,231
"8",54,"Single",0,0,0,10,"(F3)","Possession of Cocaine",0,1061
"9",54,"Single",0,0,0,10,"(F3)","Possession of Cocaine",0,164
"10",54,"Single",0,0,0,10,"(F3)","Possession of Cocaine",0,518
"11",54,"Single",0,0,0,10,"(F3)","Possession of Cocaine",0,418
"12",54,"Single",0,0,0,10,"(F3)","Possession of Cocaine",0,275
"13",28,"Single",0,0,0,5,"(F3)","Possession of Hydrocodone",0,2066
"14",38,"Divorced",0,0,0,18,"(F1)","Burglary With Assault/battery",1,234
"15",38,"Divorced",0,0,0,18,"(F1)","Burglary With Assault/battery",1,1062
"16",26,"Single",0,0,0,7,"(F3)","Aggravated Assault W/Dead Weap",1,1574
"17",23,"Single",0,0,0,5,"(M1)","Resist/Obstruct W/O Violence",1,269
"18",43,"Single",0,0,0,2,"(M1)","DUI Property Damage/Injury",0,4
"19",43,"Single",0,0,0,2,"(M1)","DUI Property Damage/Injury",0,820
"20",43,"Single",0,0,0,2,"(M1)","DUI Property Damage/Injury",0,1512
"21",43,"Single",0,0,0,2,"(M1)","DUI Property Damage/Injury",0,41
"22",43,"Single",0,0,0,2,"(M1)","DUI Property Damage/Injury",0,978
"23",23,"Single",0,2,0,3,"(F2)","Manslaughter W/Weapon/Firearm",1,2220
"24",21,"Single",0,0,0,0,"(F2)","Aggravated Battery",0,0
"25",41,"Single",0,0,0,3,"(F3)","arrest case no charge",0,356
"26",51,"Significant Other",0,0,0,1,"(F3)","Possession Burglary Tools",0,390
"27",28,"Single",0,0,1,16,"(F1)","Robbery W/Firearm",1,368
"28",27,"Single",0,0,0,3,"(F3)","Carrying Concealed Firearm",1,1735
"29",52,"Single",0,0,0,1,"(M1)","arrest case no charge",0,1526
"30",52,"Single",0,0,0,1,"(M1)","arrest case no charge",0,86
"31",31,"Single",0,1,3,10,"(F3)","Driving While License Revoked",1,35
"32",31,"Single",0,1,3,10,"(F3)","Driving While License Revoked",1,2091
"33",36,"Single",0,0,0,4,"(F1)","arrest case no charge",1,230
